date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2019-10-23,CZ,,,1.0,,,,1.0,
2019-12-31,AR,,,,4.0,,,,4.0
2019-12-31,CZ,,,1.0,,,,2.0,
2019-12-31,MX,,,,25.0,,,,25.0
2020-01-01,AD,0.0,0.0,,,0.0,0.0,,
2020-01-01,AE,0.0,0.0,,,0.0,0.0,,
2020-01-01,AF,0.0,0.0,,,0.0,0.0,,
2020-01-01,AG,0.0,0.0,,,0.0,0.0,,
2020-01-01,AI,0.0,0.0,,,0.0,0.0,,
2020-01-01,AL,0.0,0.0,,,0.0,0.0,,
2020-01-01,AM,0.0,0.0,,,0.0,0.0,,
2020-01-01,AO,0.0,0.0,,,0.0,0.0,,
2020-01-01,AR,3.0,0.0,,4.0,3.0,0.0,,4.0
2020-01-01,AS,0.0,0.0,,,0.0,0.0,,
2020-01-01,AT,0.0,0.0,,,0.0,0.0,,
2020-01-01,AU,0.0,0.0,,,0.0,0.0,,
2020-01-01,AW,0.0,0.0,,,0.0,0.0,,
2020-01-01,AZ,0.0,0.0,,,0.0,0.0,,
2020-01-01,BA,0.0,0.0,,,0.0,0.0,,
2020-01-01,BB,0.0,0.0,,,0.0,0.0,,
2020-01-01,BD,0.0,0.0,,,0.0,0.0,,
2020-01-01,BE,0.0,0.0,,,0.0,0.0,,
2020-01-01,BF,0.0,0.0,,,0.0,0.0,,
2020-01-01,BG,0.0,0.0,,,0.0,0.0,,
2020-01-01,BH,0.0,0.0,,,0.0,0.0,,
2020-01-01,BI,0.0,0.0,,,0.0,0.0,,
2020-01-01,BJ,0.0,0.0,,,0.0,0.0,,
2020-01-01,BM,0.0,0.0,,,0.0,0.0,,
2020-01-01,BN,0.0,0.0,,,0.0,0.0,,
2020-01-01,BO,0.0,0.0,,,0.0,0.0,,
2020-01-01,BR,0.0,0.0,,,0.0,0.0,,
2020-01-01,BS,0.0,0.0,,,0.0,0.0,,
2020-01-01,BT,0.0,0.0,,,0.0,0.0,,
2020-01-01,BW,0.0,0.0,,,0.0,0.0,,
2020-01-01,BY,0.0,0.0,,,0.0,0.0,,
2020-01-01,BZ,0.0,0.0,,,0.0,0.0,,
2020-01-01,CA,0.0,0.0,,,0.0,0.0,,
2020-01-01,CD,0.0,0.0,,,0.0,0.0,,
2020-01-01,CF,0.0,0.0,,,0.0,0.0,,
2020-01-01,CG,0.0,0.0,,,0.0,0.0,,
2020-01-01,CH,0.0,0.0,,,0.0,0.0,,
2020-01-01,CI,0.0,0.0,,,0.0,0.0,,
2020-01-01,CK,0.0,0.0,,,0.0,0.0,,
2020-01-01,CL,0.0,0.0,,,0.0,0.0,,
2020-01-01,CM,0.0,0.0,,,0.0,0.0,,
2020-01-01,CN,0.0,0.0,,,0.0,0.0,,
2020-01-01,CO,0.0,0.0,,,0.0,0.0,,
2020-01-01,CR,0.0,0.0,,,0.0,0.0,,
2020-01-01,CU,0.0,0.0,,,0.0,0.0,,
2020-01-01,CV,0.0,0.0,,,0.0,0.0,,
2020-01-01,CW,0.0,0.0,,,0.0,0.0,,
2020-01-01,CY,0.0,0.0,,,0.0,0.0,,
2020-01-01,CZ,0.0,0.0,,,0.0,0.0,,
2020-01-01,DE,0.0,0.0,,,0.0,0.0,,
2020-01-01,DJ,0.0,0.0,,,0.0,0.0,,
2020-01-01,DK,0.0,0.0,,,0.0,0.0,,
2020-01-01,DM,0.0,0.0,,,0.0,0.0,,
2020-01-01,DO,0.0,0.0,,,0.0,0.0,,
2020-01-01,DZ,0.0,0.0,,,0.0,0.0,,
2020-01-01,EC,0.0,0.0,,,0.0,0.0,,
2020-01-01,EE,0.0,0.0,,,0.0,0.0,,
2020-01-01,EG,0.0,0.0,,,0.0,0.0,,
2020-01-01,ER,0.0,0.0,,,0.0,0.0,,
2020-01-01,ES,2.0,0.0,,,2.0,0.0,,
2020-01-01,ET,0.0,0.0,,,0.0,0.0,,
2020-01-01,FI,0.0,0.0,,,0.0,0.0,,
2020-01-01,FK,0.0,0.0,,,0.0,0.0,,
2020-01-01,FM,0.0,0.0,,,0.0,0.0,,
2020-01-01,FO,0.0,0.0,,,0.0,0.0,,
2020-01-01,FR,0.0,0.0,,,0.0,0.0,,
2020-01-01,GA,0.0,0.0,,,0.0,0.0,,
2020-01-01,GB,0.0,0.0,,,0.0,0.0,,
2020-01-01,GE,0.0,0.0,,,0.0,0.0,,
2020-01-01,GF,0.0,0.0,,,0.0,0.0,,
2020-01-01,GG,0.0,0.0,,,0.0,0.0,,
2020-01-01,GH,0.0,0.0,,,0.0,0.0,,
2020-01-01,GI,0.0,0.0,,,0.0,0.0,,
2020-01-01,GL,0.0,0.0,,,0.0,0.0,,
2020-01-01,GM,0.0,0.0,,,0.0,0.0,,
2020-01-01,GN,0.0,0.0,,,0.0,0.0,,
2020-01-01,GQ,0.0,0.0,,,0.0,0.0,,
2020-01-01,GR,0.0,0.0,,,0.0,0.0,,
2020-01-01,GT,0.0,0.0,,,0.0,0.0,,
2020-01-01,GU,0.0,0.0,,,0.0,0.0,,
2020-01-01,GW,0.0,0.0,,,0.0,0.0,,
2020-01-01,GY,0.0,0.0,,,0.0,0.0,,
2020-01-01,HN,0.0,0.0,,,0.0,0.0,,
2020-01-01,HR,0.0,0.0,,,0.0,0.0,,
2020-01-01,HT,0.0,0.0,,,0.0,0.0,,
2020-01-01,HU,0.0,0.0,,,0.0,0.0,,
2020-01-01,ID,0.0,0.0,,,0.0,0.0,,
2020-01-01,IE,0.0,0.0,,,0.0,0.0,,
2020-01-01,IL,0.0,0.0,,,0.0,0.0,,
2020-01-01,IM,0.0,0.0,,,0.0,0.0,,
2020-01-01,IN,0.0,0.0,,,0.0,0.0,,
2020-01-01,IQ,0.0,0.0,,,0.0,0.0,,
2020-01-01,IR,0.0,0.0,,,0.0,0.0,,
2020-01-01,IS,0.0,0.0,,,0.0,0.0,,
2020-01-01,JE,0.0,0.0,,,0.0,0.0,,
2020-01-01,JM,0.0,0.0,,,0.0,0.0,,
2020-01-01,JO,0.0,0.0,,,0.0,0.0,,
2020-01-01,JP,0.0,0.0,,,0.0,0.0,,
2020-01-01,KE,0.0,0.0,,,0.0,0.0,,
2020-01-01,KG,0.0,0.0,,,0.0,0.0,,
2020-01-01,KH,0.0,0.0,,,0.0,0.0,,
2020-01-01,KM,0.0,0.0,,,0.0,0.0,,
2020-01-01,KN,0.0,0.0,,,0.0,0.0,,
2020-01-01,KP,0.0,0.0,,,0.0,0.0,,
2020-01-01,KR,0.0,0.0,,,0.0,0.0,,
2020-01-01,KW,0.0,0.0,,,0.0,0.0,,
2020-01-01,KY,0.0,0.0,,,0.0,0.0,,
2020-01-01,KZ,0.0,0.0,,,0.0,0.0,,
2020-01-01,LA,0.0,0.0,,,0.0,0.0,,
2020-01-01,LB,0.0,0.0,,,0.0,0.0,,
2020-01-01,LC,0.0,0.0,,,0.0,0.0,,
2020-01-01,LI,0.0,0.0,,,0.0,0.0,,
2020-01-01,LK,0.0,0.0,,,0.0,0.0,,
2020-01-01,LR,0.0,0.0,,,0.0,0.0,,
2020-01-01,LS,0.0,0.0,,,0.0,0.0,,
2020-01-01,LT,0.0,0.0,,,0.0,0.0,,
2020-01-01,LU,0.0,0.0,,,0.0,0.0,,
2020-01-01,LV,0.0,0.0,,,0.0,0.0,,
2020-01-01,LY,0.0,0.0,,,0.0,0.0,,
2020-01-01,MA,0.0,0.0,,,0.0,0.0,,
2020-01-01,MC,0.0,0.0,,,0.0,0.0,,
2020-01-01,MD,0.0,0.0,,,0.0,0.0,,
2020-01-01,ME,0.0,0.0,,,0.0,0.0,,
2020-01-01,MG,0.0,0.0,,,0.0,0.0,,
2020-01-01,MK,0.0,0.0,,,0.0,0.0,,
2020-01-01,ML,0.0,0.0,,,0.0,0.0,,
2020-01-01,MM,0.0,0.0,,,0.0,0.0,,
2020-01-01,MN,0.0,0.0,,,0.0,0.0,,
2020-01-01,MP,0.0,0.0,,,0.0,0.0,,
2020-01-01,MQ,0.0,0.0,,,0.0,0.0,,
2020-01-01,MR,0.0,0.0,,,0.0,0.0,,
2020-01-01,MS,0.0,0.0,,,0.0,0.0,,
2020-01-01,MT,0.0,0.0,,,0.0,0.0,,
2020-01-01,MU,0.0,0.0,,,0.0,0.0,,
2020-01-01,MV,0.0,0.0,,,0.0,0.0,,
2020-01-01,MW,0.0,0.0,,,0.0,0.0,,
2020-01-01,MX,0.0,0.0,,72.0,0.0,0.0,,97.0
2020-01-01,MY,0.0,0.0,,,0.0,0.0,,
2020-01-01,MZ,0.0,0.0,,,0.0,0.0,,
2020-01-01,NC,0.0,0.0,,,0.0,0.0,,
2020-01-01,NE,0.0,0.0,,,0.0,0.0,,
2020-01-01,NG,0.0,0.0,,,0.0,0.0,,
2020-01-01,NI,0.0,0.0,,,0.0,0.0,,
2020-01-01,NL,0.0,0.0,,,0.0,0.0,,
2020-01-01,NO,0.0,0.0,,,0.0,0.0,,
2020-01-01,NP,0.0,0.0,,,0.0,0.0,,
2020-01-01,NU,0.0,0.0,,,0.0,0.0,,
2020-01-01,OM,0.0,0.0,,,0.0,0.0,,
2020-01-01,PA,0.0,0.0,,,0.0,0.0,,
2020-01-01,PE,0.0,0.0,,,0.0,0.0,,
2020-01-01,PF,0.0,0.0,,,0.0,0.0,,
2020-01-01,PG,0.0,0.0,,,0.0,0.0,,
2020-01-01,PK,0.0,0.0,,,0.0,0.0,,
2020-01-01,PL,0.0,0.0,,,0.0,0.0,,
2020-01-01,PN,0.0,0.0,,,0.0,0.0,,
2020-01-01,PR,0.0,0.0,,,0.0,0.0,,
2020-01-01,PS,0.0,0.0,,,0.0,0.0,,
2020-01-01,PT,0.0,0.0,,,0.0,0.0,,
2020-01-01,PW,0.0,0.0,,,0.0,0.0,,
2020-01-01,PY,0.0,0.0,,,0.0,0.0,,
2020-01-01,QA,0.0,0.0,,,0.0,0.0,,
2020-01-01,RE,0.0,0.0,,,0.0,0.0,,
2020-01-01,RO,0.0,0.0,,,0.0,0.0,,
2020-01-01,RS,0.0,0.0,,,0.0,0.0,,
2020-01-01,RW,0.0,0.0,,,0.0,0.0,,
2020-01-01,SA,0.0,0.0,,,0.0,0.0,,
2020-01-01,SB,0.0,0.0,,,0.0,0.0,,
2020-01-01,SC,0.0,0.0,,,0.0,0.0,,
2020-01-01,SD,0.0,0.0,,,0.0,0.0,,
2020-01-01,SE,0.0,0.0,,,0.0,0.0,,
2020-01-01,SG,0.0,0.0,,,0.0,0.0,,
2020-01-01,SH,0.0,0.0,,,0.0,0.0,,
2020-01-01,SI,0.0,0.0,,,0.0,0.0,,
2020-01-01,SK,0.0,0.0,,,0.0,0.0,,
2020-01-01,SL,0.0,0.0,,,0.0,0.0,,
2020-01-01,SM,0.0,0.0,,,0.0,0.0,,
2020-01-01,SN,0.0,0.0,,,0.0,0.0,,
2020-01-01,SO,0.0,0.0,,,0.0,0.0,,
2020-01-01,SR,0.0,0.0,,,0.0,0.0,,
2020-01-01,SS,0.0,0.0,,,0.0,0.0,,
2020-01-01,ST,0.0,0.0,,,0.0,0.0,,
2020-01-01,SV,0.0,0.0,,,0.0,0.0,,
2020-01-01,SX,0.0,0.0,,,0.0,0.0,,
2020-01-01,SY,0.0,0.0,,,0.0,0.0,,
2020-01-01,SZ,0.0,0.0,,,0.0,0.0,,
2020-01-01,TC,0.0,0.0,,,0.0,0.0,,
2020-01-01,TD,0.0,0.0,,,0.0,0.0,,
2020-01-01,TG,0.0,0.0,,,0.0,0.0,,
2020-01-01,TH,0.0,0.0,0.0,,0.0,0.0,0.0,
2020-01-01,TJ,0.0,0.0,,,0.0,0.0,,
2020-01-01,TL,0.0,0.0,,,0.0,0.0,,
2020-01-01,TM,0.0,0.0,,,0.0,0.0,,
2020-01-01,TN,0.0,0.0,,,0.0,0.0,,
2020-01-01,TT,0.0,0.0,,,0.0,0.0,,
2020-01-01,TZ,0.0,0.0,,,0.0,0.0,,
2020-01-01,UA,0.0,0.0,,,0.0,0.0,,
2020-01-01,UG,0.0,0.0,,,0.0,0.0,,
2020-01-01,US,0.0,0.0,,,0.0,0.0,,
2020-01-01,UY,0.0,0.0,,,0.0,0.0,,
2020-01-01,UZ,0.0,0.0,,,0.0,0.0,,
2020-01-01,VA,0.0,0.0,,,0.0,0.0,,
2020-01-01,VC,0.0,0.0,,,0.0,0.0,,
2020-01-01,VE,0.0,0.0,,,0.0,0.0,,
2020-01-01,VG,0.0,0.0,,,0.0,0.0,,
2020-01-01,VI,0.0,0.0,,,0.0,0.0,,
2020-01-01,VN,0.0,0.0,,,0.0,0.0,,
2020-01-01,VU,0.0,0.0,,,0.0,0.0,,
2020-01-01,YE,0.0,0.0,,,0.0,0.0,,
2020-01-01,YT,0.0,0.0,,,0.0,0.0,,
2020-01-01,ZA,0.0,0.0,,,0.0,0.0,,
2020-01-01,ZM,0.0,0.0,,,0.0,0.0,,
2020-01-01,ZW,0.0,0.0,,,0.0,0.0,,
2020-01-02,AD,0.0,0.0,,,0.0,0.0,,
2020-01-02,AE,0.0,0.0,,,0.0,0.0,,
2020-01-02,AF,0.0,0.0,,,0.0,0.0,,
2020-01-02,AG,0.0,0.0,,,0.0,0.0,,
2020-01-02,AI,0.0,0.0,,,0.0,0.0,,
2020-01-02,AL,0.0,0.0,,,0.0,0.0,,
2020-01-02,AM,0.0,0.0,,,0.0,0.0,,
2020-01-02,AO,0.0,0.0,,,0.0,0.0,,
2020-01-02,AR,10.0,0.0,,20.0,13.0,0.0,,24.0
2020-01-02,AS,0.0,0.0,,,0.0,0.0,,
2020-01-02,AT,0.0,0.0,,,0.0,0.0,,
2020-01-02,AU,0.0,0.0,,,0.0,0.0,,
2020-01-02,AW,0.0,0.0,,,0.0,0.0,,
2020-01-02,AZ,0.0,0.0,,,0.0,0.0,,
2020-01-02,BA,0.0,0.0,,,0.0,0.0,,
2020-01-02,BB,0.0,0.0,,,0.0,0.0,,
2020-01-02,BD,0.0,0.0,,,0.0,0.0,,
2020-01-02,BE,0.0,0.0,,,0.0,0.0,,
2020-01-02,BF,0.0,0.0,,,0.0,0.0,,
2020-01-02,BG,0.0,0.0,,,0.0,0.0,,
2020-01-02,BH,0.0,0.0,,,0.0,0.0,,
2020-01-02,BI,0.0,0.0,,,0.0,0.0,,
2020-01-02,BJ,0.0,0.0,,,0.0,0.0,,
2020-01-02,BM,0.0,0.0,,,0.0,0.0,,
2020-01-02,BN,0.0,0.0,,,0.0,0.0,,
2020-01-02,BO,0.0,0.0,,,0.0,0.0,,
2020-01-02,BR,0.0,0.0,,,0.0,0.0,,
2020-01-02,BS,0.0,0.0,,,0.0,0.0,,
2020-01-02,BT,0.0,0.0,,,0.0,0.0,,
2020-01-02,BW,0.0,0.0,,,0.0,0.0,,
2020-01-02,BY,0.0,0.0,,,0.0,0.0,,
2020-01-02,BZ,0.0,0.0,,,0.0,0.0,,
2020-01-02,CA,0.0,0.0,,,0.0,0.0,,
2020-01-02,CD,0.0,0.0,,,0.0,0.0,,
2020-01-02,CF,0.0,0.0,,,0.0,0.0,,
2020-01-02,CG,0.0,0.0,,,0.0,0.0,,
2020-01-02,CH,0.0,0.0,,,0.0,0.0,,
2020-01-02,CI,0.0,0.0,,,0.0,0.0,,
2020-01-02,CK,0.0,0.0,,,0.0,0.0,,
2020-01-02,CL,0.0,0.0,,,0.0,0.0,,
2020-01-02,CM,0.0,0.0,,,0.0,0.0,,
2020-01-02,CN,1.0,0.0,,,1.0,0.0,,
2020-01-02,CO,0.0,0.0,,,0.0,0.0,,
